id,count
1,30
2,34
3,45
4,29
5,54
6,21
7,57
8,50
9,39
10,31
11,32
12,14
13,55
14,24
15,56
16,53
17,13
18,58
19,20
20,58
21,18
22,52
23,28
24,24
25,14
26,19
27,49
28,15
29,59
30,17
31,46
32,50
33,20
34,19
35,24
36,14
37,28
38,20
39,58
40,50
41,46
42,23
43,37
44,33
45,14
46,40
47,21
48,23
49,19
50,43
51,10
52,21
53,33
54,28
55,25
56,15
57,29
58,12
59,12
60,31
61,22
62,39
63,53
64,20
65,41
66,43
67,14
68,54
69,22
70,43
71,35
72,24
73,25
74,32
75,30
76,22
77,13
78,34
79,28
80,15
81,38
82,55
83,13
84,16
85,53
86,52
87,11
88,42
89,36
90,20
91,51
92,32
93,15
94,48
95,38
96,23
97,35
98,26
99,20
100,26
101,26
102,58
103,22
104,42
105,51
106,22
107,29
108,36
109,19
110,21
111,21
112,55
113,46
114,49
115,45
116,57
117,41
118,31
119,22
120,33
121,15
122,24
123,41
124,53
125,29
126,56
127,17
128,26
129,39
130,38
131,33
132,20
133,40
134,21
135,34
136,13
137,28
138,41
139,49
140,43
141,30
142,34
143,29
144,30
145,45
146,56
147,54
148,52
149,38
150,17
151,51
152,49
153,40
154,12
155,27
156,40
157,35
158,29
159,28
160,16
161,16
162,56
163,54
164,49
165,51
166,30
167,20
168,26
169,51
170,45
171,20
172,10
173,20
174,57
175,55
176,31
177,47
178,22
179,54
180,15
181,32
182,38
183,35
184,35
185,46
186,43
187,12
188,51
189,17
190,28
191,48
192,43
193,31
194,42
195,50
196,25
197,14
198,10
199,59
200,35
201,47
202,58
203,47
204,35
205,53
206,35
207,49
208,57
209,36
210,35
211,25
212,18
213,40
214,21
215,31
216,46
217,52
218,30
219,53
220,30
221,26
222,53
223,58
224,33
225,22
226,28
227,46
228,59
229,32
230,29
231,17
232,42
233,24
234,17
235,17
236,24
237,26
238,39
239,57
240,32
241,39
242,19
243,39
244,45
245,17
246,13
247,43
248,35
249,17
250,46
251,19
252,31
253,19
254,53
255,40
256,58
257,14
258,38
259,59
260,10
261,24
262,21
263,52
264,56
265,34
266,53
267,40
268,14
269,42
270,53
271,53
272,24
273,41
274,14
275,46
276,55
277,34
278,34
279,37
280,45
281,14
282,44
283,50
284,17
285,15
286,29
287,58
288,16
289,27
290,18
291,18
292,32
293,21
294,14
295,27
296,16
297,26
298,34
299,51
300,19
301,10
302,25
303,42
304,41
305,39
306,51
307,39
308,20
309,27
310,52
311,51
312,55
313,40
314,49
315,22
316,42
317,30
318,14
319,34
320,50
321,19
322,35
323,56
324,54
325,47
326,15
327,52
328,55
329,49
330,54
331,43
332,34
333,23
334,40
335,38
336,40
337,34
338,56
339,34
340,40
341,16
342,58
343,52
344,56
345,43
346,20
347,53
348,41
349,20
350,58
351,39
352,43
353,58
354,13
355,20
356,35
357,32
358,24
359,40
360,50
361,56
362,42
363,39
364,16
365,32
366,31
367,51
368,41
369,28
370,49
371,52
372,55
373,19
374,53
375,30
376,20
377,36
378,31
379,52
380,30
381,58
382,42
383,34
384,41
385,10
386,37
387,42
388,28
389,26
390,38
391,11
392,31
393,46
394,14
395,58
396,34
397,32
398,25
399,58
400,15
